City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,Puerto Baquerizo Moreno,-0.9,-89.6,76.19,73,75,14.97,EC,2022-06-15 18:45:34
152,Isiro,2.7739,27.616,66.96,93,9,0.63,CD,2022-06-15 18:45:35
153,Makakilo City,21.3469,-158.0858,79.12,68,100,10.36,US,2022-06-15 18:45:35
154,Villa Union,23.2,-106.2333,86.02,75,6,11.36,MX,2022-06-15 18:45:35
155,Norman Wells,65.282,-126.8329,53.64,76,75,12.66,CA,2022-06-15 18:42:21
156,Geraldton,-28.7667,114.6,59.41,94,100,5.75,AU,2022-06-15 18:43:34
157,Luderitz,-26.6481,15.1594,64.99,33,9,10.51,NA,2022-06-15 18:44:51
158,Cortez,37.3489,-108.5859,81.03,7,0,12.64,US,2022-06-15 18:43:45
159,Pisco,-13.7,-76.2167,65.01,77,0,11.5,PE,2022-06-15 18:44:34
160,Anadyr,64.75,177.4833,39.7,86,40,17.9,RU,2022-06-15 18:45:36
161,Cabo San Lucas,22.8909,-109.9124,91.62,35,0,10.36,MX,2022-06-15 18:39:18
162,Chimore,-16.9833,-65.1333,80.11,46,0,4.99,BO,2022-06-15 18:45:33
163,Hasaki,35.7333,140.8333,64.8,95,100,7.43,JP,2022-06-15 18:45:02
164,Staunton,38.1496,-79.0717,91.65,59,0,8.05,US,2022-06-15 18:45:36
165,Thinadhoo,0.5333,72.9333,83.68,71,80,7.72,MV,2022-06-15 18:43:31
166,Willmar,45.1219,-95.0433,69.82,63,40,9.22,US,2022-06-15 18:45:37
167,Ucluelet,48.9329,-125.5528,57.09,81,100,1.01,CA,2022-06-15 18:43:58
168,Severobaykalsk,55.65,109.3167,53.94,72,14,4.72,RU,2022-06-15 18:45:37
169,Verkhnevilyuysk,63.4453,120.3167,52.79,90,100,2.37,RU,2022-06-15 18:44:22
170,Alenquer,-1.9417,-54.7383,82.98,69,93,5.88,BR,2022-06-15 18:45:37
171,Sobolevo,54.4299,31.8996,52.52,91,22,8.14,RU,2022-06-15 18:45:38
172,Pevek,69.7008,170.3133,33.78,78,3,1.48,RU,2022-06-15 18:43:54
173,Najran,17.4924,44.1277,90.25,18,100,5.39,SA,2022-06-15 18:42:12
174,Gat,31.61,34.7642,76.82,100,0,8.77,IL,2022-06-15 18:44:31
175,Namatanai,-3.6667,152.4333,78.17,83,28,6.2,PG,2022-06-15 18:45:38
176,Kiama,-34.6833,150.8667,56.37,64,52,1.01,AU,2022-06-15 18:45:38
177,Longonjo,-12.9067,15.2533,58.12,28,4,0.56,AO,2022-06-15 18:45:39
178,Narrabri,-30.3167,149.7833,46.45,89,0,2.62,AU,2022-06-15 18:45:39
179,Strelka,58.0728,93.0344,57.87,97,1,1.12,RU,2022-06-15 18:45:39
180,Santiago,-33.4569,-70.6483,60.28,53,20,4.61,CL,2022-06-15 18:42:10
181,Vardo,70.3705,31.1107,42.78,87,75,16.11,NO,2022-06-15 18:43:44
182,Bajil,15.0584,43.2851,87.4,69,100,4.59,YE,2022-06-15 18:46:40
183,Bubaque,11.2833,-15.8333,80.44,80,100,10.02,GW,2022-06-15 18:46:40
